"id","age","job","marital","education","default_credit","housing_loan","personal_loan","contact","month","day","duration","campaign","prev_days","prev_num_contact","prev_outcome","decision"
"220","43","technician","married","university degree","no","no","no","telephone","may","mon","366","2","999","0","nonexistent","no"
"221","36","services","single","basic","no","yes","no","telephone","may","mon","210","1","999","0","nonexistent","no"
"222","46","technician","married","basic","no","yes","no","telephone","may","mon","288","1","999","0","nonexistent","no"
"223","40","technician","married","basic","no","no","no","telephone","may","mon","168","1","999","0","nonexistent","no"
"224","58","retired","married","university degree","no","no","no","telephone","may","mon","132","1","999","0","nonexistent","no"
"225","42","technician","married","university degree","no","no","no","telephone","may","mon","64","2","999","0","nonexistent","no"
"226","35","admin","single","university degree","no","no","no","telephone","may","mon","209","2","999","0","nonexistent","no"
"227","43","retired","married","basic","no","no","no","telephone","may","mon","410","3","999","0","nonexistent","no"
"228","45","blue-collar","married","basic","no","yes","yes","telephone","may","mon","177","1","999","0","nonexistent","no"
"229","39","admin","married","professional degree","no","yes","no","telephone","may","mon","580","2","999","0","nonexistent","no"
"230","50","services","divorced","professional degree","no","yes","no","telephone","may","mon","165","1","999","0","nonexistent","no"
"231","32","management","divorced","basic","no","yes","no","telephone","may","mon","127","2","999","0","nonexistent","no"
"232","39","admin","married","high school","no","no","no","telephone","may","mon","357","1","999","0","nonexistent","no"
"233","52","self-employed","married","university degree","no","no","no","telephone","may","mon","175","1","999","0","nonexistent","no"
"234","44","admin","married","professional degree","no","yes","no","telephone","may","mon","300","1","999","0","nonexistent","no"
"235","56","blue-collar","married","basic","no","no","no","telephone","may","mon","136","1","999","0","nonexistent","no"
"236","48","admin","married","high school","no","no","no","telephone","may","mon","125","2","999","0","nonexistent","no"
"237","33","services","married","high school","no","no","yes","telephone","may","mon","189","2","999","0","nonexistent","no"
"238","43","management","married","university degree","no","no","yes","telephone","may","mon","213","3","999","0","nonexistent","no"
"239","57","retired","married","high school","no","no","no","telephone","may","mon","238","2","999","0","nonexistent","no"
"240","36","technician","single","professional degree","no","no","no","telephone","may","mon","124","1","999","0","nonexistent","no"
"241","34","management","married","university degree","no","yes","no","telephone","may","mon","18","1","999","0","nonexistent","no"
"242","34","services","single","basic","no","no","no","telephone","may","mon","730","2","999","0","nonexistent","no"
"243","30","technician","married","university degree","no","no","no","telephone","may","mon","40","1","999","0","nonexistent","no"
"244","33","services","divorced","university degree","no","no","no","telephone","may","mon","181","2","999","0","nonexistent","no"
"245","32","technician","single","professional degree","no","no","no","telephone","may","mon","79","1","999","0","nonexistent","no"
"246","36","technician","single","high school","no","yes","no","telephone","may","mon","142","2","999","0","nonexistent","no"
"247","36","blue-collar","single","high school","no","no","yes","telephone","may","mon","389","1","999","0","nonexistent","no"
"248","33","services","single","high school","no","no","no","telephone","may","mon","702","1","999","0","nonexistent","no"
"249","40","technician","divorced","professional degree","no","no","no","telephone","may","mon","151","1","999","0","nonexistent","no"
"250","41","blue-collar","married","basic","no","yes","no","telephone","may","mon","211","1","999","0","nonexistent","no"
"251","51","services","married","basic","no","yes","no","telephone","may","mon","117","1","999","0","nonexistent","no"
"252","36","technician","married","professional degree","no","yes","no","telephone","may","mon","232","3","999","0","nonexistent","no"
"253","28","services","married","university degree","no","no","no","telephone","may","mon","408","2","999","0","nonexistent","no"
"254","53","services","married","high school","no","yes","yes","telephone","may","mon","370","3","999","0","nonexistent","no"
"255","58","blue-collar","married","basic","no","yes","no","telephone","may","mon","179","2","999","0","nonexistent","no"
"256","45","management","married","basic","no","no","yes","telephone","may","mon","46","1","999","0","nonexistent","no"
"257","43","technician","married","university degree","no","yes","no","telephone","may","mon","200","1","999","0","nonexistent","no"
"258","33","admin","married","high school","no","no","yes","telephone","may","mon","50","1","999","0","nonexistent","no"
"259","33","admin","married","high school","no","no","yes","telephone","may","mon","181","1","999","0","nonexistent","no"
"260","27","blue-collar","single","basic","no","no","no","telephone","may","mon","119","1","999","0","nonexistent","no"
"261","42","technician","married","high school","no","no","no","telephone","may","mon","361","1","999","0","nonexistent","no"
"262","43","admin","divorced","basic","no","no","no","telephone","may","mon","73","3","999","0","nonexistent","no"
"263","42","admin","married","university degree","no","no","no","telephone","may","mon","67","2","999","0","nonexistent","no"
"264","27","blue-collar","single","basic","no","no","no","telephone","may","mon","350","1","999","0","nonexistent","no"
"265","34","self-employed","single","university degree","no","yes","no","telephone","may","mon","150","2","999","0","nonexistent","no"
"266","31","student","single","university degree","no","no","no","telephone","may","mon","332","2","999","0","nonexistent","no"
"267","54","management","divorced","university degree","no","no","no","telephone","may","mon","611","2","999","0","nonexistent","no"
"268","40","self-employed","married","basic","no","no","no","telephone","may","mon","58","3","999","0","nonexistent","no"
"269","52","unemployed","married","high school","no","yes","no","telephone","may","mon","151","1","999","0","nonexistent","no"
"270","47","management","divorced","university degree","no","no","no","telephone","may","mon","89","2","999","0","nonexistent","no"
"271","49","housemaid","married","basic","no","no","no","telephone","may","mon","152","1","999","0","nonexistent","no"
"272","32","admin","single","high school","no","no","no","telephone","may","mon","611","2","999","0","nonexistent","no"
"273","49","housemaid","single","high school","no","yes","yes","telephone","may","mon","110","2","999","0","nonexistent","no"
"274","50","blue-collar","married","basic","no","no","no","telephone","may","mon","463","1","999","0","nonexistent","no"
"275","34","services","married","high school","no","no","no","telephone","may","mon","962","1","999","0","nonexistent","no"
"276","55","blue-collar","married","basic","no","no","no","telephone","may","mon","102","2","999","0","nonexistent","no"
"277","47","technician","single","basic","no","no","no","telephone","may","mon","10","4","999","0","nonexistent","no"
"278","51","retired","married","professional degree","no","no","no","telephone","may","mon","118","3","999","0","nonexistent","no"
"279","47","blue-collar","married","basic","no","no","no","telephone","may","mon","92","2","999","0","nonexistent","no"
"280","56","technician","married","basic","no","yes","no","telephone","may","mon","143","3","999","0","nonexistent","no"
"281","53","admin","married","basic","no","no","no","telephone","may","mon","189","3","999","0","nonexistent","no"
"282","36","blue-collar","married","basic","no","yes","no","telephone","may","mon","75","2","999","0","nonexistent","no"
"283","42","blue-collar","divorced","basic","no","yes","no","telephone","may","mon","189","2","999","0","nonexistent","no"
"284","44","blue-collar","divorced","basic","no","no","no","telephone","may","mon","55","2","999","0","nonexistent","no"
"285","39","housemaid","married","basic","no","yes","no","telephone","may","mon","935","3","999","0","nonexistent","yes"
"286","37","admin","single","high school","no","yes","yes","telephone","may","mon","56","2","999","0","nonexistent","no"
"287","60","blue-collar","married","university degree","no","yes","no","telephone","may","mon","5","2","999","0","nonexistent","no"
"288","36","services","married","high school","no","no","no","telephone","may","mon","225","2","999","0","nonexistent","no"
"289","42","management","divorced","university degree","no","yes","no","telephone","may","mon","125","2","999","0","nonexistent","no"
"290","31","admin","married","high school","no","yes","yes","telephone","may","mon","286","2","999","0","nonexistent","no"
"291","53","technician","divorced","professional degree","no","no","yes","telephone","may","mon","206","2","999","0","nonexistent","no"
"292","45","blue-collar","married","basic","no","yes","no","telephone","may","mon","164","2","999","0","nonexistent","no"
"293","37","technician","single","professional degree","no","yes","no","telephone","may","mon","98","2","999","0","nonexistent","no"
